,subject_n,visibility,reward,RT,FP,FP1,FP2,FP3,FP4,FP5
0,0,False,False,0.34,0.3,0.0,0.0,0.0,0.0,0.0
1,0,False,False,0.3031861313089449,0.9,0.3,0.0,0.0,0.0,0.0
2,0,False,False,0.35246977223040377,0.3,0.9,0.3,0.0,0.0,0.0
3,0,False,False,0.35078486627676103,0.3,0.3,0.9,0.3,0.0,0.0
4,0,False,False,0.301902646468478,0.9,0.3,0.3,0.9,0.3,0.0
5,0,False,False,0.35236089632339784,0.6,0.9,0.3,0.3,0.9,0.3
6,0,False,False,0.35322981065432657,0.3,0.6,0.9,0.3,0.3,0.9
7,0,False,False,0.3217031478666099,0.3,0.3,0.6,0.9,0.3,0.3
8,0,False,False,0.30243969649731023,0.6,0.3,0.3,0.6,0.9,0.3
9,0,False,False,0.352462255781565,0.3,0.6,0.3,0.3,0.6,0.9
10,0,False,False,0.3017039371608045,0.9,0.3,0.6,0.3,0.3,0.6
11,0,False,False,0.3528221413423643,0.9,0.9,0.3,0.6,0.3,0.3
12,0,False,False,0.34,0.6,0.9,0.9,0.3,0.6,0.3
13,0,False,False,0.3026232159131859,0.9,0.6,0.9,0.9,0.3,0.6
14,0,False,False,0.3534010008802552,0.3,0.9,0.6,0.9,0.9,0.3
15,0,False,False,0.3028505332398917,0.9,0.3,0.9,0.6,0.9,0.9
16,0,False,False,0.3534929692627982,0.3,0.9,0.3,0.9,0.6,0.9
17,0,False,False,0.34,0.6,0.3,0.9,0.3,0.9,0.6
18,0,False,False,0.3530039330990271,0.3,0.6,0.3,0.9,0.3,0.9
19,0,False,False,0.30201942244034474,0.9,0.3,0.6,0.3,0.9,0.3
20,0,False,False,0.3015093293118603,0.9,0.9,0.3,0.6,0.3,0.9
21,0,False,False,0.3530141091580932,0.3,0.9,0.9,0.3,0.6,0.3
22,0,False,False,0.3517857064688504,0.3,0.3,0.9,0.9,0.3,0.6
23,0,False,False,0.3030436596186825,0.6,0.3,0.3,0.9,0.9,0.3
24,0,False,False,0.34,0.6,0.6,0.3,0.3,0.9,0.9
25,0,False,False,0.3532765898451489,0.3,0.6,0.6,0.3,0.3,0.9
26,0,False,False,0.30263696417532404,0.6,0.3,0.6,0.6,0.3,0.3
27,0,False,False,0.3026687077125038,0.9,0.6,0.3,0.6,0.6,0.3
28,0,False,False,0.3532291577555622,0.3,0.9,0.6,0.3,0.6,0.6
29,0,False,False,0.3074305794853357,0.3,0.3,0.9,0.6,0.3,0.6
30,0,False,False,0.30319907485884795,0.9,0.0,0.0,0.0,0.0,0.0
31,0,False,False,0.3018984622345465,0.9,0.9,0.0,0.0,0.0,0.0
32,0,False,False,0.30299329553784293,0.6,0.9,0.9,0.0,0.0,0.0
33,0,False,False,0.30280639378384594,0.9,0.6,0.9,0.9,0.0,0.0
34,0,False,False,0.3515278594410302,0.6,0.9,0.6,0.9,0.9,0.0
35,0,False,False,0.35241315479359747,0.9,0.6,0.9,0.6,0.9,0.9
36,0,False,False,0.3020488666092695,0.6,0.9,0.6,0.9,0.6,0.9
37,0,False,False,0.35303133287758987,0.3,0.6,0.9,0.6,0.9,0.6
38,0,False,False,0.34,0.6,0.3,0.6,0.9,0.6,0.9
39,0,False,False,0.35283033210406817,0.6,0.6,0.3,0.6,0.9,0.6
40,0,False,False,0.34,0.6,0.6,0.6,0.3,0.6,0.9
41,0,False,False,0.3020766569048789,0.9,0.6,0.6,0.6,0.3,0.6
42,0,False,False,0.3026111226775981,0.9,0.9,0.6,0.6,0.6,0.3
43,0,False,False,0.34,0.9,0.9,0.9,0.6,0.6,0.6
44,0,False,False,0.34,0.9,0.9,0.9,0.9,0.6,0.6
45,0,False,False,0.34,0.9,0.9,0.9,0.9,0.9,0.6
46,0,False,False,0.34,0.3,0.9,0.9,0.9,0.9,0.9
47,0,False,False,0.34,0.6,0.3,0.9,0.9,0.9,0.9
48,0,False,False,0.34,0.3,0.6,0.3,0.9,0.9,0.9
49,0,False,False,0.3174046721043996,0.6,0.3,0.6,0.3,0.9,0.9
50,0,False,False,0.35165655589406536,0.6,0.6,0.3,0.6,0.3,0.9
51,0,False,False,0.3520506371714729,0.3,0.6,0.6,0.3,0.6,0.3
52,0,False,False,0.30295212596217197,0.6,0.3,0.6,0.6,0.3,0.6
53,0,False,False,0.35171413320065076,0.3,0.6,0.3,0.6,0.6,0.3
54,0,False,False,0.3474664623752271,0.3,0.3,0.6,0.3,0.6,0.6
55,0,False,False,0.34,0.6,0.3,0.3,0.6,0.3,0.6
56,0,False,False,0.34367041595110054,0.3,0.6,0.3,0.3,0.6,0.3
57,0,False,False,0.3523947709008812,0.3,0.3,0.6,0.3,0.3,0.6
58,0,False,False,0.30342522407890493,0.6,0.3,0.3,0.6,0.3,0.3
59,0,False,False,0.34,0.3,0.6,0.3,0.3,0.6,0.3
60,0,True,False,0.28236675623261953,0.6,0.0,0.0,0.0,0.0,0.0
61,0,True,False,0.3317616499465476,0.6,0.6,0.0,0.0,0.0,0.0
62,0,True,False,0.3329255879677162,0.3,0.6,0.6,0.0,0.0,0.0
63,0,True,False,0.2827810943188953,0.6,0.3,0.6,0.6,0.0,0.0
64,0,True,False,0.32,0.9,0.6,0.3,0.6,0.6,0.0
65,0,True,False,0.33179840483275264,0.6,0.9,0.6,0.3,0.6,0.6
66,0,True,False,0.3326521191812814,0.3,0.6,0.9,0.6,0.3,0.6
67,0,True,False,0.2859464010264927,0.3,0.3,0.6,0.9,0.6,0.3
68,0,True,False,0.28167615569374493,0.9,0.3,0.3,0.6,0.9,0.6
69,0,True,False,0.331818897309569,0.9,0.9,0.3,0.3,0.6,0.9
70,0,True,False,0.2815942212519502,0.9,0.9,0.9,0.3,0.3,0.6
71,0,True,False,0.33190873410429766,0.3,0.9,0.9,0.9,0.3,0.3
72,0,True,False,0.3127799849392096,0.3,0.3,0.9,0.9,0.9,0.3
73,0,True,False,0.32,0.9,0.3,0.3,0.9,0.9,0.9
74,0,True,False,0.3319521709441993,0.9,0.9,0.3,0.3,0.9,0.9
75,0,True,False,0.33340519027551696,0.3,0.9,0.9,0.3,0.3,0.9
76,0,True,False,0.2818254685715452,0.9,0.3,0.9,0.9,0.3,0.3
77,0,True,False,0.3329275632377078,0.3,0.9,0.3,0.9,0.9,0.3
78,0,True,False,0.32745401875434776,0.3,0.3,0.9,0.3,0.9,0.9
79,0,True,False,0.32088886983301884,0.3,0.3,0.3,0.9,0.3,0.9
80,0,True,False,0.28290375755723657,0.9,0.3,0.3,0.3,0.9,0.3
81,0,True,False,0.33331392556676814,0.6,0.9,0.3,0.3,0.3,0.9
82,0,True,False,0.2818374365192279,0.9,0.6,0.9,0.3,0.3,0.3
83,0,True,False,0.32,0.3,0.9,0.6,0.9,0.3,0.3
84,0,True,False,0.2825727080986597,0.6,0.3,0.9,0.6,0.9,0.3
85,0,True,False,0.29419271462304947,0.6,0.6,0.3,0.9,0.6,0.9
86,0,True,False,0.28198255169843767,0.9,0.6,0.6,0.3,0.9,0.6
87,0,True,False,0.282960540405397,0.9,0.9,0.6,0.6,0.3,0.9
88,0,True,False,0.33184900140586837,0.6,0.9,0.9,0.6,0.6,0.3
89,0,True,False,0.331995509213364,0.3,0.6,0.9,0.9,0.6,0.6
90,0,True,False,0.32,0.3,0.0,0.0,0.0,0.0,0.0
91,0,True,False,0.2819776483128112,0.6,0.3,0.0,0.0,0.0,0.0
92,0,True,False,0.28256934508928166,0.9,0.6,0.3,0.0,0.0,0.0
93,0,True,False,0.32,0.6,0.9,0.6,0.3,0.0,0.0
94,0,True,False,0.28212121950347907,0.6,0.6,0.9,0.6,0.3,0.0
95,0,True,False,0.3316108961337659,0.3,0.6,0.6,0.9,0.6,0.3
96,0,True,False,0.32,0.3,0.3,0.6,0.6,0.9,0.6
97,0,True,False,0.32,0.6,0.3,0.3,0.6,0.6,0.9
98,0,True,False,0.2823257083400572,0.9,0.6,0.3,0.3,0.6,0.6
99,0,True,False,0.32,0.9,0.9,0.6,0.3,0.3,0.6
100,0,True,False,0.32,0.6,0.9,0.9,0.6,0.3,0.3
101,0,True,False,0.32,0.3,0.6,0.9,0.9,0.6,0.3
102,0,True,False,0.3324977778388355,0.3,0.3,0.6,0.9,0.9,0.6
103,0,True,False,0.28228489292576625,0.9,0.3,0.3,0.6,0.9,0.9
104,0,True,False,0.32,0.6,0.9,0.3,0.3,0.6,0.9
105,0,True,False,0.2830831868416979,0.6,0.6,0.9,0.3,0.3,0.6
106,0,True,False,0.33192174567576216,0.6,0.6,0.6,0.9,0.3,0.3
107,0,True,False,0.282314274725635,0.9,0.6,0.6,0.6,0.9,0.3
108,0,True,False,0.33162461022277734,0.3,0.9,0.6,0.6,0.6,0.9
109,0,True,False,0.28267638916828486,0.6,0.3,0.9,0.6,0.6,0.6
110,0,True,False,0.32,0.3,0.6,0.3,0.9,0.6,0.6
111,0,True,False,0.32,0.3,0.3,0.6,0.3,0.9,0.6
112,0,True,False,0.28265720103459185,0.9,0.3,0.3,0.6,0.3,0.9
113,0,True,False,0.3315575274580916,0.3,0.9,0.3,0.3,0.6,0.3
114,0,True,False,0.32,0.9,0.3,0.9,0.3,0.3,0.6
115,0,True,False,0.2819876482050719,0.9,0.9,0.3,0.9,0.3,0.3
